"","Effective Federal Funds Rate"
"182",9.18548387096774
"183",9.15
"184",9
"185",8.85
"186",8.97193548387097
"187",8.97677419354839
"188",8.97821428571429
"189",7.76225806451613
"190",8.09633333333333
"191",7.94645161290323
"192",7.605
"193",7.21483870967742
"194",6.61516129032258
"195",6.28966666666667
"196",6.20387096774194
"197",5.60133333333333
"198",4.90064516129032
"199",4.14225806451613
"200",3.72071428571429
"201",3.71161290322581
"202",4.156
"203",4.63225806451613
"204",4.91133333333333
"205",5.30870967741935
"206",5.56677419354839
"207",5.55366666666667
"208",5.19935483870968
"209",4.91033333333333
"210",4.13838709677419
"211",3.5058064516129
"212",3.29551724137931
"213",3.82935483870968
"214",4.171
"215",4.26967741935484
"216",4.46466666666667
"217",4.54903225806452
"218",4.80516129032258
"219",4.87433333333333
"220",5.04516129032258
"221",5.05633333333333
"222",5.33225806451613
"223",5.94451612903226
"224",6.58428571428571
"225",7.09032258064516
"226",7.12433333333333
"227",7.83935483870968
"228",8.491
"229",10.4
"230",10.4958064516129
"231",10.7846666666667
"232",10.01
"233",10.0336666666667
"234",9.94774193548387
"235",9.64838709677419
"236",8.97178571428571
"237",9.34612903225806
"238",10.513
"239",11.3061290322581
"240",11.933
"241",12.9229032258065
"242",12.0051612903226
"243",11.3433333333333
"244",10.0577419354839
"245",9.44766666666667
"246",8.53096774193548
"247",7.13161290322581
"248",6.24071428571429
"249",5.53741935483871
"250",5.49266666666667
"251",5.22129032258065
"252",5.548
"253",6.0958064516129
"254",6.13548387096774
"255",6.239
"256",5.81612903225806
"257",5.21566666666667
"258",5.19548387096774
"259",4.86774193548387
"260",4.77068965517241
"261",4.83741935483871
"262",4.816
"263",5.29064516129032
"264",5.47633333333333
"265",5.30645161290323
"266",5.29096774193548
"267",5.252
"268",5.02483870967742
"269",4.949
"270",4.65129032258065
"271",4.61096774193548
"272",4.68321428571429
"273",4.69
"274",4.72733333333333
"275",5.35
"276",5.38866666666667
"277",5.41935483870968
"278",5.90193548387097
"279",6.13833333333333
"280",6.46548387096774
"281",6.50766666666667
"282",6.56064516129032
"283",6.70354838709677
"284",6.78428571428571
"285",6.79322580645161
"286",6.88866666666667
"287",7.36
"288",7.59666666666667
"289",7.81064516129032
"290",8.0358064516129
"291",8.44933333333333
"292",8.95548387096774
"293",9.755
"294",10.0287096774194
"295",10.0709677419355
"296",10.0585714285714
"297",10.0887096774194
"298",10.0103333333333
"299",10.241935483871
"300",10.2916666666667
"301",10.4716129032258
"302",10.9361290322581
"303",11.4283333333333
"304",13.7687096774194
"305",13.1803333333333
"306",13.7787096774194
"307",13.8167741935484
"308",14.1262068965517
"309",17.1922580645161
"310",17.6076666666667
"311",10.9832258064516
"312",9.472
"313",9.0258064516129
"314",9.60548387096774
"315",10.872
"316",12.8135483870968
"317",15.8486666666667
"318",18.8961290322581
"319",19.0845161290323
"320",15.9342857142857
"321",14.7038709677419
"322",15.719
"323",18.5177419354839
"324",19.0996666666667
"325",19.0358064516129
"326",17.8177419354839
"327",15.874
"328",15.08
"329",13.307
"330",12.3690322580645
"331",13.2206451612903
"332",14.7792857142857
"333",14.6777419354839
"334",14.937
"335",14.4548387096774
"336",14.1526666666667
"337",12.5867741935484
"338",10.1190322580645
"339",10.3096666666667
"340",9.70709677419355
"341",9.19633333333333
"342",8.94548387096774
"343",8.68322580645161
"344",8.50892857142857
"345",8.76612903225806
"346",8.802
"347",8.63
"348",8.982
"349",9.36774193548387
"350",9.55838709677419
"351",9.448
"352",9.47612903225806
"353",9.34
"354",9.47129032258064
"355",9.55838709677419
"356",9.58758620689655
"357",9.91322580645161
"358",10.291
"359",10.3193548387097
"360",11.0616666666667
"361",11.2341935483871
"362",11.6370967741935
"363",11.3026666666667
"364",9.98548387096774
"365",9.42566666666667
"366",8.38161290322581
"367",8.34903225806452
"368",8.50142857142857
"369",8.57741935483871
"370",8.26733333333333
"371",7.97096774193548
"372",7.53333333333333
"373",7.88387096774194
"374",7.89838709677419
"375",7.92133333333333
"376",7.98645161290323
"377",8.05066666666667
"378",8.27451612903226
"379",8.14483870967742
"380",7.86
"381",7.47903225806452
"382",6.988
"383",6.85290322580645
"384",6.91666666666667
"385",6.55709677419355
"386",6.17064516129032
"387",5.89033333333333
"388",5.8458064516129
"389",6.03933333333333
"390",6.90774193548387
"391",6.42645161290323
"392",6.10107142857143
"393",6.12838709677419
"394",6.36533333333333
"395",6.85290322580645
"396",6.725
"397",6.58225806451613
"398",6.73225806451613
"399",7.21633333333333
"400",7.28870967741936
"401",6.69333333333333
"402",6.76967741935484
"403",6.83387096774194
"404",6.58275862068966
"405",6.5758064516129
"406",6.87166666666667
"407",7.08645161290323
"408",7.509
"409",7.75483870967742
"410",8.00903225806452
"411",8.19333333333333
"412",8.29612903225807
"413",8.345
"414",8.76032258064516
"415",9.12129032258064
"416",9.36107142857143
"417",9.84870967741936
"418",9.83533333333333
"419",9.80903225806452
"420",9.53
"421",9.23548387096774
"422",8.99225806451613
"423",9.021
"424",8.84064516129032
"425",8.548
"426",8.45258064516129
"427",8.22903225806452
"428",8.23714285714286
"429",8.27677419354839
"430",8.255
"431",8.17645161290323
"432",8.28866666666667
"433",8.15258064516129
"434",8.1341935483871
"435",8.195
"436",8.11258064516129
"437",7.80666666666667
"438",7.31290322580645
"439",6.90645161290323
"440",6.2525
"441",6.11516129032258
"442",5.91233333333333
"443",5.78290322580645
"444",5.89966666666667
"445",5.82096774193548
"446",5.66129032258065
"447",5.447
"448",5.20967741935484
"449",4.81133333333333
"450",4.4341935483871
"451",4.0341935483871
"452",4.05758620689655
"453",3.98322580645161
"454",3.73466666666667
"455",3.82322580645161
"456",3.76266666666667
"457",3.25354838709677
"458",3.30322580645161
"459",3.21966666666667
"460",3.09903225806452
"461",3.08766666666667
"462",2.91967741935484
"463",3.0241935483871
"464",3.02714285714286
"465",3.0741935483871
"466",2.95766666666667
"467",2.99612903225806
"468",3.038
"469",3.05548387096774
"470",3.03225806451613
"471",3.08633333333333
"472",2.99258064516129
"473",3.018
"474",2.95516129032258
"475",3.05064516129032
"476",3.245
"477",3.3358064516129
"478",3.555
"479",4.01096774193548
"480",4.24566666666667
"481",4.25612903225806
"482",4.47451612903226
"483",4.73366666666667
"484",4.76
"485",5.29466666666667
"486",5.45322580645161
"487",5.52741935483871
"488",5.91535714285714
"489",5.97645161290323
"490",6.04733333333333
"491",6.00903225806452
"492",6.00133333333333
"493",5.85193548387097
"494",5.73516129032258
"495",5.80466666666667
"496",5.75612903225806
"497",5.803
"498",5.60193548387097
"499",5.56483870967742
"500",5.22448275862069
"501",5.3141935483871
"502",5.22366666666667
"503",5.23516129032258
"504",5.27333333333333
"505",5.39645161290323
"506",5.22290322580645
"507",5.299
"508",5.23806451612903
"509",5.311
"510",5.29451612903226
"511",5.25451612903226
"512",5.18571428571429
"513",5.38612903225806
"514",5.50733333333333
"515",5.5041935483871
"516",5.55566666666667
"517",5.52129032258065
"518",5.54225806451613
"519",5.54066666666667
"520",5.49612903225806
"521",5.52166666666667
"522",5.50483870967742
"523",5.55741935483871
"524",5.50571428571429
"525",5.49354838709677
"526",5.44533333333333
"527",5.48870967741935
"528",5.55866666666667
"529",5.5358064516129
"530",5.54677419354839
"531",5.51166666666667
"532",5.07096774193548
"533",4.826
"534",4.68354838709677
"535",4.63258064516129
"536",4.76464285714286
"537",4.80935483870968
"538",4.73633333333333
"539",4.74225806451613
"540",4.76466666666667
"541",4.9941935483871
"542",5.07225806451613
"543",5.22433333333333
"544",5.2
"545",5.42
"546",5.2958064516129
"547",5.44838709677419
"548",5.7348275862069
"549",5.85354838709677
"550",6.01966666666667
"551",6.26806451612903
"552",6.52833333333333
"553",6.54451612903226
"554",6.49677419354839
"555",6.517
"556",6.50935483870968
"557",6.51433333333333
"558",6.40225806451613
"559",5.9758064516129
"560",5.49428571428571
"561",5.31096774193548
"562",4.802
"563",4.21225806451613
"564",3.96966666666667
"565",3.76903225806452
"566",3.65258064516129
"567",3.069
"568",2.48516129032258
"569",2.087
"570",1.81774193548387
"571",1.72967741935484
"572",1.73964285714286
"573",1.73
"574",1.753
"575",1.75129032258065
"576",1.75033333333333
"577",1.72903225806452
"578",1.74322580645161
"579",1.75066666666667
"580",1.75483870967742
"581",1.336
"582",1.23838709677419
"583",1.23516129032258
"584",1.26214285714286
"585",1.25290322580645
"586",1.258
"587",1.25903225806452
"588",1.22266666666667
"589",1.01129032258065
"590",1.02903225806452
"591",1.01
"592",1.01
"593",0.996
"594",0.984193548387097
"595",0.997096774193548
"596",1.00724137931034
"597",1.00161290322581
"598",1.004
"599",1.00451612903226
"600",1.02566666666667
"601",1.26354838709677
"602",1.42935483870968
"603",1.605
"604",1.76096774193548
"605",1.932
"606",2.15612903225806
"607",2.27935483870968
"608",2.50178571428571
"609",2.62903225806452
"610",2.785
"611",3.00258064516129
"612",3.03566666666667
"613",3.26258064516129
"614",3.49967741935484
"615",3.623
"616",3.77935483870968
"617",3.999
"618",4.15709677419355
"619",4.28516129032258
"620",4.49142857142857
"621",4.58935483870968
"622",4.79033333333333
"623",4.94032258064516
"624",4.991
"625",5.23516129032258
"626",5.24645161290323
"627",5.25466666666667
"628",5.24516129032258
"629",5.24566666666667
"630",5.23806451612903
"631",5.24838709677419
"632",5.25892857142857
"633",5.25677419354839
"634",5.24966666666667
"635",5.25354838709677
"636",5.254
"637",5.25838709677419
"638",5.02225806451613
"639",4.938
"640",4.75548387096774
"641",4.48666666666667
"642",4.24451612903226
"643",3.94032258064516
"644",2.98068965517241
"645",2.61032258064516
"646",2.27833333333333
"647",1.97838709677419
"648",2.001
"649",2.00967741935484
"650",1.99645161290323
"651",1.81166666666667
"652",0.969354838709677
"653",0.387666666666667
"654",0.155161290322581
"655",0.154193548387097
"656",0.222142857142857
"657",0.180645161290323
"658",0.150333333333333
"659",0.17741935483871
"660",0.206333333333333
"661",0.155806451612903
"662",0.160322580645161
"663",0.146666666666667
"664",0.118064516129032
"665",0.119
"666",0.118064516129032
"667",0.11
"668",0.126428571428571
"669",0.164516129032258
"670",0.198333333333333
"671",0.200645161290323
"672",0.176666666666667
"673",0.18258064516129
"674",0.189354838709677
"675",0.194666666666667
"676",0.191290322580645
"677",0.194333333333333
"678",0.183225806451613
"679",0.168387096774194
"680",0.156785714285714
"681",0.138709677419355
"682",0.098
"683",0.0938709677419355
"684",0.092
"685",0.0709677419354839
"686",0.0958064516129032
"687",0.084
"688",0.0706451612903226
"689",0.081
"690",0.0716129032258065
"691",0.0819354838709677
"692",0.103793103448276
"693",0.126774193548387
"694",0.139333333333333
"695",0.155806451612903
"696",0.161666666666667
"697",0.156451612903226
