"","Industrial Production: Total Index","Industrial Production: Final Products and Nonindustrial Supplies","Industrial Production: Final Products","Industrial Production: Consumer Goods","Industrial Production: Durable Consumer Goods","Industrial Production: Non-Durable Consumer Goods","Industrial Production: Equipment: Business Equipment","Industrial Production: Materials","Industrial Production: Manufacturing","Industrial Production: Energy, Total","Industrial Production: Non-Energy, Total","Industrial Production: Manufacturing: Durable Goods: Motor Vehicles and Parts","Industrial Production: Manufacturing: Durable Goods: Computers, Communications Equipment, and Semiconductors","Capacity Utilization: Total Index","Capacity Utilization: Manufacturing.data","Capacity Utilization: Manufacturing","Capacity Utilization: Durable Manufacturing","Capacity Utilization: Non-Durable Manufacturing","Capacity Utilization: : Computers, Communications Equipment, and Semiconductors","Unemployment Level","All Employees, Total Nonfarm","Average Weeks Unemployed","Number Unemployed for Less Than 5 Weeks","Number Unemployed for 5-14 Weeks","Number Unemployed for 15-26 Weeks","Number Unemployed for 15 Weeks & over","1.ini_claim","Total Nonfarm Private Payroll Employment","Real Manufacturing and Trade Industries Sales","Real Personal Consumption Expenditures","Real Personal Consumption Expenditures: Durable Goods","Real Personal Consumption Expenditures: Nondurable Goods","Real Personal Consumption Expenditures: Services"," New Privately-Owned Housing Units Started: Total Units"," New Privately-Owned Housing Units Authorized in Permit-Issuing Places: Total Units","Real Manufacturing and Trade Inventories","Manufacturers' New Orders: Durable Goods","Manufacturers' New Orders: Nondurable Goods","S&P 500","U.S. Dollars to Euro Spot Exchange Rate","Swiss Francs to U.S. Dollar Spot Exchange Rate","Japanese Yen to U.S. Dollar Spot Exchange Rate","U.S. Dollars to U.K. Pound Sterling Spot Exchange Rate","Moody's Seasoned Aaa Corporate Bond Yield","Moody's Seasoned Baa Corporate Bond Yield","M1","CPI","M2","Reserves of Depository Institutions: Tota"
"2002-05-01",0.287801475169082,0.29714784537639,0.23853193935464,0.259125125188948,0.0843502351992136,0.401104763472167,0.145360085681693,0.249340482961757,0.344640428004638,-0.135158488446566,0.345940976589511,0.0250769974598128,-0.569924291017149,0.251861492605206,0.251861492605206,0.321786320663364,0.141661035091441,0.681525308487258,-0.778486405871401,-0.261382803691651,-0.0534162000155726,0.372434065206348,0.280122566166136,-0.00075137526974792,0.0130148485127577,0.501579461174884,-0.0626026896799833,-0.149631313296505,0.0578068343042403,-0.450299829107862,-1.46071081141795,-0.0529128056587872,0.0328004784145771,1.17701110870546,0.493377463727125,0.331065166991499,-0.0379704125285563,0.702009200123418,-0.92088830759912,1.53890230938634,-1.68871672589235,-1.55600414619369,0.567973403723959,0.0149099764247617,0.313312629202477,-0.361218310612384,-0.281157912056753,-1.50899733350307,-0.298972665503125
"2002-06-01",0.587654891465742,0.594788226208753,0.614750487002453,0.776041837187373,0.219191422772873,1.29381634735848,0.232598289064404,0.520862629709235,0.643820559592002,-0.154742371414853,0.664340427004777,0.155885662167661,0.0861080194010009,0.564818164705206,0.564818164705206,0.629308430517633,0.451286903013194,0.879650535576725,-0.0558638654681238,0.00966175530420703,-0.0235622599441075,0.0592926337157327,0.119208517973191,0.0593230361077274,-0.0377584057148229,0.246524791547189,0.136306317740926,-0.0996626322137157,0.144692580241495,0.127114862916591,0.153360894240038,0.531989324741347,-0.0901565739046838,-0.309785180141698,0.429441030619387,0.502024113129001,-0.75054756848769,0.0847437365116083,-1.76763597136426,1.88152766928397,-1.29401070953412,-1.12346344488846,0.77974787790603,-0.627159613423767,-0.586598483121989,-0.035535475322621,-0.455183760798524,0.0939495897970692,-0.555402723870533
"2002-07-01",-0.0678935381365584,-0.0757333095766443,-0.0256275703616043,0.0468011559108676,0.249518842642122,-0.532638098053497,-0.146324561518731,-0.0440720807677768,-0.108310805350736,0.288172071863794,-0.118455966202061,0.2430302861978,-0.186308620377939,-0.0675080508896246,-0.0675080508896246,-0.118223197291606,0.0392277140629314,-0.485946249803727,-0.315955426370322,0.013903717888094,-0.133811572604303,-0.0172512222477539,0.338636765509025,-0.101161462857814,0.0242334892455422,-0.215455781031237,-0.123601451955729,-0.137952412320004,-0.300572322117585,0.387215660055807,1.07082649818532,-0.302135920426745,0.191266573596076,-0.421895238115981,-0.204883768919207,0.358448675244177,0.966027539172305,-1.41943414753922,-3.15182676865944,1.72251656188215,-1.90807879699407,-2.03521832335989,2.24801765432924,-0.458036388125673,-0.187581291808312,-0.0296390378865563,0.0650561211679528,0.0888249925520706,0.0205814569104633
"2002-08-01",-0.150739637086355,-0.220134990035654,-0.282493026341713,-0.525647115854528,-0.210685575683486,-0.732914669296229,0.129814248078437,-0.0332800596637882,0.0130971645153182,-0.927650132868875,0.0445378075717546,-0.144336634401198,0.380950430475096,-0.134663714477948,-0.134663714477948,0.00659425637919923,0.0853223646282723,-0.205815643042218,0.26442533311661,-0.104233251620418,-0.0641369106800482,-0.326190588553624,0.382522415016192,-0.0513855220021914,-0.376253289092494,-0.312921797765381,0.15752327853249,-0.164066716310648,0.609259957164065,-0.0247027111829793,0.530344049103795,-0.379095713900879,-0.177656469153802,-0.15349529698611,-0.447243771459565,-0.456884050325572,0.298578116167286,0.973090633051483,0.118078240056819,-0.751721305013227,0.8527148105548,0.42364343422263,-0.560560863180411,-0.865628349979786,-1.41859177564838,-0.422941576597127,0.236384448684291,0.433227898339164,-0.0736984571988317
"2002-09-01",0.0338971081443207,0.204723567011928,0.08400072542974,0.0929446529941693,-0.0174597171428488,0.254850406583169,-0.0139568937056772,-0.195784103203004,0.0365640562917926,0.0118693039467708,0.0443950831457952,-0.0517402512772174,-0.0780002345055469,0.0592980277835037,0.0592980277835037,0.0320748368764304,-0.0125880690116804,0.123531502155282,-0.221512250874433,-0.057904999918834,-0.127733161919008,0.815140928936989,0.193570312971446,-0.0505273161253704,0.475477403068932,0.368739697635606,-0.0612766296305106,-0.117740658061211,-0.729076335919061,-0.511979703521053,-1.32036121646941,-0.149777786422456,-0.0996545909555989,1.14253368874766,1.09877109790906,0.379247872287159,-1.28324351530475,0.861222812556854,-1.452635014391,0.0866934743867725,-0.0248819671554528,0.794623095006732,0.612021445225021,-1.09536653655729,-0.811151774829369,0.00256826286195665,-0.110886752735414,-0.216808595638876,-0.372260743357361
"2002-10-01",-0.253747315991024,-0.0728876618318293,-0.149854019154876,-0.119386866987996,-0.127086011768145,0.0219473759596286,-0.21828575963926,-0.46658474715549,-0.253161782443192,-0.112069775185926,-0.234616994493688,-0.109674185966534,-0.626433311163039,-0.215387916988933,-0.215387916988933,-0.256410818929135,-0.190099048472503,-0.356644219645657,-0.800029685622741,0.0984959495388025,0.0354543909050692,0.128485942773475,0.185036992233941,-0.0625421984008654,0.0073510258695996,0.306739257421897,-0.0665808698284015,-0.0981937647035009,-0.435377788714597,0.184737611709856,-0.562944488981219,0.513464735919136,0.364332448153683,-1.0375750971963,-0.040690917794494,-0.519517895855913,0.246173425338765,-0.52251333849291,-0.539499569284518,-0.00920235510435487,0.100499026090865,1.05577101615443,0.0621180131733279,0.978014361197564,1.63304076515378,-0.155385965683617,0.0604551770141662,0.221478990586366,-0.211832261132843
"2002-11-01",0.375931545855688,0.26554474550695,0.370853498437521,0.560835234375291,0.479397511583967,0.116218600549938,0.117878537397579,0.493711656548429,0.321141689356812,0.634385614137062,0.270893444818074,0.351065609818878,0.0929366440776,0.417915398691958,0.417915398691958,0.323153369913128,0.339730501157207,0.159820689313016,-0.023866613124058,0.318880425894825,-0.071793888389101,-0.162988387268983,0.410560468867993,-0.068549639538613,-0.374477179463611,0.0978285996031459,0.152882068359335,-0.0733884646916541,0.690250744078524,0.0867782502352934,0.289617428757971,0.28491833769836,-0.125157892940445,0.708633012390468,-0.280470592843925,0.294302388047024,0.0708647971808624,0.180219767535843,1.49748533858903,0.896585659107359,-0.726959035144191,-0.851127855205266,0.432868406543971,-0.025263682122992,-0.486397357531738,-0.0597132445205109,-0.112886326915268,0.674356162791485,-0.0489247695047249
"2002-12-01",-0.47243389374614,-0.510418175560213,-0.55370735346991,-0.695846414992121,-0.362102730891067,-0.762633276109672,-0.513344015559484,-0.362926416483275,-0.49826288641043,-0.270964424428905,-0.434382355337338,-0.362057172469172,-0.216065871424824,-0.414189384224776,-0.414189384224776,-0.494971895161759,-0.548739702781049,-0.22025449499737,-0.328553308417775,0.18428172592168,-0.171407584575789,0.62597578635025,0.274027337067918,0.00353965411435746,0.188487807096718,0.825981062293973,-0.0486790591605196,-0.153099301784406,-0.669054406226178,0.380934800880569,1.06726993243357,-0.0445183219934043,0.0819074787734734,0.226827587996238,1.21331956858974,0.834963068281971,-0.793474551833291,0.0453619634185509,-0.450126694451574,0.787263578382636,-0.726782390595079,0.109481313060892,0.473849051717127,-0.44523033114322,-0.731673882507395,0.341694650714338,-0.113738569628659,0.434161451950321,0.0854226857604065
"2003-01-01",0.593131896804498,0.676990719841501,0.624223642869813,0.933347017277566,0.334193688128749,1.37406099186124,0.0828209517611412,0.423785271572256,0.54868631587646,0.365044132004519,0.562178832134082,0.434530476459671,0.32169910570203,0.645260577279023,0.645260577279023,0.555526810636888,0.446392072487955,0.636599075525673,0.230508384068976,-0.147981261510626,0.020923079927891,-0.0172512222477539,0.295970161821501,-0.00246778702339007,0.353878735797371,-0.381856083778777,-0.0997323710652198,-0.0374745193039984,0.337022447346725,-0.152165173498652,-0.852229496891467,0.0666123741220744,0.147966151284605,0.40968764808474,-0.847413931459585,-0.0430415225332247,0.713500240683865,0.177557077294677,-0.237059676705725,1.85094684586822,-1.86640424480282,-1.16350377300275,0.931841597550439,-0.164927474833365,-0.414883638126564,-0.385174083181895,0.74075038188063,-0.691718714062412,0.400933963112321
"2003-02-01",0.0347034120548486,0.125043021193656,0.209401789988959,0.284452986691935,-0.345278104804105,1.51379130483218,-0.0504721083806322,-0.0835782590372036,-0.129506013952729,0.789565134012668,-0.139786476565294,-0.328138394456522,1.61611893171651,0.0885617080713656,0.0885617080713656,-0.127077786160369,-0.270723742102392,0.25290449329981,1.54360559094603,0.15399771603289,-0.166069240131605,-0.0172512222477539,0.225265504282177,0.0224201834044211,-0.601187988887261,-0.00175254931790043,-0.0572984494820924,-0.0261668260832245,-0.91386872418592,-0.399277149434619,-0.951099636141845,-0.0350581650437335,-0.174338053546437,-1.4780631312238,0.446240111394977,0.767238719051829,0.459927716002122,0.652527153576061,-1.8946138531897,0.659776772502922,-0.433845788999721,0.203589567644788,-0.246893150004126,-1.16001636855359,-1.30124097500887,-0.125220472423327,1.07475373847948,-0.483941357188331,-0.378719686534043
