"","Index.of.IP..total","Index.of.IP..final.products.and.nonindustrial.supplies","Index.of.IP..final.products","Index.of.IP..consumer.goods","Index.of.IP..durable.consumer.goods","Index.of.IP..nondurable.consumer.goods","Index.of.IP..business.equipment","Index.of.IP..materials","Index.of.IP..mfg","Index.of.IP..mfg..durables","Index.of.IP..mfg..nondurables","Index.of.IP..energy..total","Index.of.IP..nonenergy..total","Index.of.IP..computers..comm..equip...and.semiconductors","Index.of.IP..nonenergy.excl.CCS.and.MVP","Capacity.utilization..total","Capacity.utilization..mfg","Capacity.utilization..mfg..durables","Capacity.utilization..mfg..nondurables","Capacity.utilization..computers..comm..equip...and.semiconductors","CLF.employed..total","Mean.duration.of.unemployment","Persons.unemployed.less.than.5.weeks","Persons.unemployed.5.to.14.weeks","Persons.unemployed.15.to.26.weeks","Persons.unemployed.15..weeks","Avg.weekly.initial.claims","Employment.on.nonag.payrolls..mining","Employment.on.nonag.payrolls..construction","Employment.on.nonag.payrolls..manufacturing","Employment.on.nonag.payrolls..manufacturing..durables","Employment.on.nonag.payrolls..manufacturing..nondurables","Employment.on.nonag.payrolls..utilities","Employment.on.nonag.payrolls..retail.trade","Employment.on.nonag.payrolls..wholesale.trade","Employment.on.nonag.payrolls..financial.activities","Employment.on.nonag.payrolls..professional.and.business.services","Employment.on.nonag.payrolls..education.and.health.services","Employment.on.nonag.payrolls..lesiure.and.hospitality","Employment.on.nonag.payrolls..other.services","Real.Manufacturing.and.Trade.Industries.Sales","Manufacturers.Sales","Merchant.Wholesalers.Sales","Retail.Sales..Retail.Trade","New.Privately.Owned.Housing.Units.Started..Total.Units","X.New.Privately.Owned.Housing.Units.Authorized.in.Permit.Issuing.Places..Total.Units","New.One.Family.Houses.Sold..United.States","Swiss.Francs.to.U.S..Dollar.Spot.Exchange.Rate","Japanese.Yen.to.U.S..Dollar.Spot.Exchange.Rate","U.S..Dollars.to.U.K..Pound.Sterling.Spot.Exchange.Rate","Moody.s.Seasoned.Aaa.Corporate.Bond.Yield","Moody.s.Seasoned.Baa.Corporate.Bond.Yield","M1","M2","M3","Monetary.Base..Total","Reserves.of.Depository.Institutions..Total","Reserves.of.Depository.Institutions..Nonborrowed","Producer.Price.Index.by.Commodity..Final.Demand..Finished.Goods","Producer.Price.Index.by.Commodity..Final.Demand..Finished.Goods.Less.Foods.and.Energy","Consumer.Price.Index.for.All.Urban.Consumers..All.Items.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Food.and.Beverages.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Housing.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Apparel.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Transportation.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Medical.Care.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Commodities.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..Services.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..All.Items.Less.Food.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..All.Items.Less.Shelter.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..All.Items.Less.Medical.Care.in.U.S..City.Average","Consumer.Price.Index.for.All.Urban.Consumers..All.Items.Less.Food.and.Energy.in.U.S..City.Average","Personal.Consumption.Expenditures..Chain.type.Price.Index","Personal.Consumption.Expenditures.Excluding.Food.and.Energy..Chain.Type.Price.Index.","Personal.consumption.expenditures..Durable.goods..chain.type.price.index.","Personal.consumption.expenditures..Nondurable.goods..chain.type.price.index.","Personal.consumption.expenditures..Services..chain.type.price.index.","Federal Surplus or Deficit [-]"
"1992-02-01",0.698802211632366,0.916062190634293,1.16165048123111,1.01204802740025,4.14029584797211,-0.0506443310507088,1.99193980835979,0.427216774791317,0.949940108372616,2.04276440876958,-0.34349922666701,-0.193645552242128,0.889490176253283,1.12670495518886,0.321259366499937,0.509586916713012,0.715957951351776,1.77348692120809,-0.537953431266747,0.572893237597594,-0.0535351683451424,3.65894474322923,3277,2953,2.81322154291219,3.90950139513073,442200,-0.670929034359435,-1.18548645608669,-0.0594035897236722,-0.161065998653509,-0.419539123010271,-0.23206617472411,0.0413366564531614,-0.0743203632879386,0.0460016875397429,0.157167323065543,0.186219793106446,-0.160367811137263,-0.426642031369973,0.251204517214987,0.498926745852302,0.853807252307703,0.202619159030171,6.10247018377743,6.20982201182967,-5.62886216654297,3.65066601410883,1.76771507285114,-1.73633485345053,8.63875598086121,9.76794258373204,-0.668387860207176,0.0398638727862277,0.554475554947942,-0.572032268853029,-1.08109161042149,-10.7913669064748,0.245599795986973,0.0751597179312391,0.216684808509005,0.363504580563312,0.147058850032167,0.0763650285296791,-0.080289044859061,0.702895567632211,0.156617103274481,0.200333956817467,0.216216300449545,0.22148403295521,0.147275431627492,0.206540520927678,0.253225747275732,0.271137192345172,0.185271356405625,0.128637077462912,0.316930178988262,2566.65815675262
"1992-03-01",0.827917965837432,0.851191649127525,0.899364687686077,0.910597840861449,2.03776455220801,0.517975188635678,1.17449903955649,0.798861531962292,1.03929278006323,1.04097669605201,1.03762377013403,-0.273419303929323,1.05977688483412,1.56887604366397,0.821666336079829,0.627565661965335,0.790214202700668,0.745543271137183,0.84176388588082,0.679683601012471,0.0498440077516094,2.36697440859048,3412,2801,-3.65180088053956,0.439009798843237,429500,-0.224647077787843,0.194952948131721,-0.142712755386576,-0.264123411066386,-0.481638498798187,-0.109394240363869,0.00155953931209041,-0.0508826188127642,0.0153291944808842,0.30438615947066,0.135215097082231,-0.0856347729488505,-0.0712843085906911,0.401684615895981,4.16948110930715,0.759903073662827,-0.284326854312411,3.69103540200975,-5.74664378682588,-14.45464528552,3.59710733150553,3.96409494434291,-3.08480774070714,6.17942583732063,2.23205741626789,1.44517704514593,0.431284031106571,0.114640145420353,1.31975520819463,1.97315818625947,23.956442831216,0.0817327385099098,0.225140808045765,0.360101217359432,0.362188009115449,0.220183575194177,0.228745810759978,0.400802139753953,0.64447054426422,0.31250025431353,0.333000640718772,0.287563102546162,0.294551022975753,0.293901754538872,0.343289042932149,0.242074439540385,0.250076461766202,-0.0639505074627955,0.25525229562211,0.297069875295719,37.3810492069947
"1992-04-01",0.759305332447902,0.743347743283973,0.759876397761161,0.934392794385897,1.85069669760152,0.612459843036017,0.958449196910349,0.779446495808012,0.568997304575891,0.795193116734305,0.298257340847652,1.87335569445004,0.524917318375984,2.54859728175087,0.199006119320444,0.550518982429882,0.307844360105936,0.477431941199846,0.103561522317275,0.547345518884068,0.142011421664456,1.73917427118688,3296,2821,-3.20883145515012,-2.08670233519666,418250,-0.62847680878928,-0.390286705302501,0.154596296695964,0.425189409719895,-0.332477259571817,-0.123211734390871,0.147266824965087,-0.231254757550126,0.137857109984552,0.404412315882929,0.23618737255493,0.256684632913284,0.308532343953694,0.664200688975392,0.532101798633811,0.0516018959665132,0.832329106308194,-16.5653229912823,-2.62187303051187,-1.27390257774298,0.661522588173774,0.508118516473566,1.88408095822221,-2.05411255411256,-3.95887445887446,3.09266577302028,0.631044486168797,-0.123464064128243,-0.7477229393416,-11.0703360068322,-123.843416370107,0.0816659906556438,0.299401421260459,0.215439939702655,-0.0723327337142976,0.219699832054232,-0.458016067857514,0.478851673179648,0.587138062467751,0.0779727135021169,0.331895425806383,0.286738547715615,0.293685967330948,0.21986084342025,0.273785249733827,0.269950223173154,0.327640990131872,0.196925792914904,0.0396813289294862,0.374798278949751,-1545.55134879319
"1992-05-01",0.322124685045377,0.549808980211264,0.580375403500621,0.648211931236276,3.08041815562738,-0.218893736358527,0.792468108829514,0.0351933287400463,0.584404901489322,1.18093928708372,-0.133181125810911,-1.0810841250728,0.615057427640497,1.74614210150599,0.198178596458387,0.106773309890507,0.313656064070145,0.843508266451742,-0.325425426707682,0.12812032199685,0.119722993744986,2.27282510775564,3417,2788,5.63529365511322,9.56005820134234,417400,-0.48614582862454,0.0434404872166283,0.0237628469008655,0.233815684484906,-0.33358635938292,-0.246879840110381,-0.0116799233929044,-0.204262076323047,0.183514350324998,0.530602287778059,0.117884823352199,0.426348972406032,0.094741835603962,-0.873849515818037,1.59429690283694,-0.954458298207506,0.658495117839486,9.95200172158226,0.189573516489894,1.45457110023788,-1.9114494692245,-2.09499527059203,2.96492137699375,-4.85952380952384,-7.95476190476183,-1.45711029376816,-1.03207211246463,-0.0323610317167322,0.419413436864779,-3.22608622182212,-40.4761904761905,0.325998658720739,0.372995583506341,0.214976793649235,-0.0723850918323166,0.146198856449953,0.686239826104096,0.238568701620334,0.424854595508428,0.233554018192805,0.264725502050656,0.285918708004562,0.219699832054232,0.219378515771407,0.341180815433706,0.131710913627181,0.14029609110624,0.192834051937218,0.137236984027833,0.11950288229059,-5043.56639046771
"1992-06-01",0.0538762896534983,-0.243816225302762,-0.309180945950427,-0.490386555254751,-1.38223904089578,-0.171719534777637,0.247226757511054,0.429611648657424,0.32773033940936,-0.00923701105191022,0.733370433196345,-0.852493381178565,0.239805075639854,2.4793129337917,0.276597884243213,-0.165714475684897,0.0501588269097297,-0.362031499227733,0.545725707994471,-0.202891771206115,0.0607276292562631,2.22231367847101,3518,2809,9.65547350365297,8.7253314425789,418750,-1.14361645018537,-0.457069029483215,-0.0534743484415401,0.349701653187307,-0.639953425857609,-0.27502767610974,0.0521597657629158,-0.147563749711033,0.122156069549639,0.300642507685644,0.386360299191857,0.063795855433213,-0.0236770452154644,1.04866440418476,0.801352809544653,1.3717976828195,0.52876532957491,-5.85160556311033,0.094652160403097,7.30759803180661,-4.50471611821596,-3.05570890035476,2.48791766765138,-5.8136363636363,-8.13181818181814,0.763612768074129,-0.0225807428549274,-0.153121349116603,0.774274267173247,1.42423567155432,14.7843942505133,0.406009489929815,-0.149031324155935,0.285918708004562,0.216998276832303,0.364564749384488,0.379219263706254,0.396354066245586,0.475813744641762,0.388048604907798,0.264026556017694,0.356252603360296,0.292184283836416,0.29175804795214,0.204151142697651,0.177833615567558,0.078017774671757,-0.218078327560622,0.45610113275627,0.143215205287728,-1297.03033801552
"1992-07-01",0.891134006869976,0.998193154658811,1.12930264963884,1.2977179210484,2.56985451122995,0.843335787813881,1.01577895508607,0.756192179070991,0.929840233523471,1.16702880773323,0.645257154452672,0.983142603866849,0.871968141631907,1.78226843259505,0.459017023117969,0.671674947550915,0.651400703406591,0.806249527280212,0.465423294298883,0.723820016967558,0.0717215029732543,-0.550965581096952,3438,2832,-7.62150507994068,-3.9071708821238,442750,-0.296198998849384,-0.305877450632508,-0.0416109383326813,0.174393300992559,0.487954612583508,-0.0688752696143879,-0.168254477793717,-0.364924313407222,-0.0152613506591237,0.0545652978253486,0.368170443489824,0.318370214792374,0.283755215221149,1.33029831659606,-0.0346020060403518,1.91256079904534,0.639473035298366,-0.525395254115857,2.98251370627227,5.07058735675709,-6.55010997012165,-0.754772501831269,3.31846951299668,-15.4545454545456,-21.1363636363638,1.43364319949919,0.218656346355495,0.0147333991691312,0.974177445920432,0.604231445596248,4.86815415821501,-0.0810701300989258,0.149031324155935,0.285103543083931,-0.0722804512856889,0.218102594636083,0.453172980988281,0.394789300758447,0.526040139917949,0.154798792521493,0.329055907309872,0.284091100160389,0.291333053835796,0.218261272531795,0.339328455897991,0.329425741184952,0.376230217837659,0.143213876893444,0.222732426906624,0.408059734804755,-14890.2168164992
"1992-08-01",-0.556991683254981,-0.114084949782356,-0.118788428637284,0.0384260780040613,-0.833320564831208,0.34994489205733,-0.50783820171687,-1.12024092366902,-0.470108845775208,-0.517077219535356,-0.414164515012949,-1.30338996148307,-0.405910178718649,0.772536030974191,-0.292219755068501,-0.772301891592431,-0.744608606927777,-0.87803976882439,-0.584079025761852,-0.750201434199038,0.121257788675067,-0.554018037561566,3436,2840,1.06810094203338,-0.973176038614731,407200,-0.644790197901735,0.240410999849239,-0.214273041925317,0.0580635812509556,-0.0304275067005477,-0.193103508281123,-0.0764311377091431,-0.162177164614974,0.182982667707599,0.381125688202033,0.191914615205491,0.243399241811204,0.188723811617031,-1.60356027510122,-1.11939786875759,-0.932374637999089,0.202764557853818,7.36061530489751,-1.29391823711975,1.42520227072014,-2.88995523284553,0.277029666187634,1.33328702121773,-11.6818181818181,-18.3961038961039,0.577355355939879,-0.00927912264341302,0.144272552885383,0.673403218134361,0.80000426670761,9.6969696969697,0.0810701300989258,0,0.213295495014165,0.576786025868437,0.145137906464665,-0.3018870217252,0.0787711738249541,0.471081740059898,0.231749814036242,0.262467342277084,0.212539931231337,0.290486769262976,0.290275965796205,0.2030457550382,0.133844938335947,0.0920399863637122,0.0748644506671781,0.19051944978079,0.122093925733235,-511.877998470346
"1992-09-01",0.313728706176253,-0.057022265770712,-0.190412117150096,-0.441944448378617,-0.361331437379242,-0.470033684848037,0.412576510667373,0.785612226722021,0.168643972950733,0.0969060698574609,0.254185042184574,1.21770110691877,0.129784457779003,2.09420662458376,0.114411198109199,0.105209750714153,-0.0981811520978759,-0.259234397147612,0.0957555292384171,0.0943465211918237,0.0312092675699205,0.554018037561566,3428,2882,-7.79974345800332,-2.11782587097442,417000,-0.949927983032417,0.0654664507832692,-0.131171018092147,0.116026118890122,-0.0304367678502615,-0.193477119502905,0.0163830194271242,-0.206067163609092,0.228258487601529,0.298440194377569,0.141613585247669,0.369257158505931,0.235405005130929,1.38078355956885,0.828267351734624,1.22963144031107,1.00180317842984,-3.31705369384858,3.56364799254667,2.17737995495604,-1.44412717572925,-2.92133501000427,-5.11419033629439,-2.952380952381,-3.6190476190475,1.4607778782092,0.221138933090081,0.337783581805695,1.21811250951414,2.5566780972007,33.6673346693387,0.242816792715495,0.223131368143559,0.212841513482598,0.43041673335189,0.144927561599051,-0.0756143703323886,0,0.468872961090572,0.231213975837985,0.196399408465986,0.14144273928105,0.217312653431367,0.144822617636464,0.135135155699917,0.16334534830893,0.162301557383948,-0.088212516329822,0.0558773130000745,0.255574970917838,-1457.53778999272
"1992-10-01",0.678621874546881,0.774539666527119,1.0076290785249,1.32696239118015,2.14513648868415,1.03640595918968,0.342741706821847,0.556670168612605,0.623305625636039,1.10144421404024,0.0485978787091668,1.35885571943319,0.538962791779962,3.38899218078546,0.129414960494145,0.478427245786506,0.366559835653746,0.754400794131538,-0.0979273727354624,0.40287923793576,0.165063449338199,4.32499837938165,3356,2630,-6.06694900161058,0.0285347412408044,377800,0.267558688043756,0.348432408261168,-0.0596801163570859,0.217186793546098,-0.518847493881758,-0.152280779756353,0.136420883415056,-0.00595055092365016,0.136705421153316,0.39653981305019,0.274325788229035,0.514679987034405,0.352071716801028,0.403926337093807,-0.698243303658863,0.0167489038233271,0.609588668856631,4.77456937414535,1.60288382758988,-4.56412809562039,3.04747817722161,-1.17446163426136,-11.0754268427818,6.952380952381,22.2878787878788,1.67019549653729,0.442133073989304,0.395078139323601,0.832500860879826,3.05951205782029,39.766081871345,0.40338901009358,0.222634600308247,0.424328783786621,0,0.361402634055619,0.226671800869038,0.862412244409771,0.570097423823057,0.230680609791456,0.521853760953395,0.493480028584781,0.361141598721648,0.361141598721648,0.471540112523883,0.352509399926948,0.383877630716523,0.194112957604631,0.0754603114588193,0.494061320814154,-12226.4406779661
"1992-11-01",0.402582794644335,0.285188987179996,0.345786988167074,0.200259183560902,0.875664711850987,-0.0413068989474574,0.734793156170355,0.551782006498058,0.42306084275463,0.569212883551451,0.245985567189688,0.344270745795949,0.414455739112718,2.22135005060483,0.288191586838149,0.211423467944627,0.178104432714132,0.233867875834459,0.111788647910593,0.181764047471589,0.121788752800356,-5.43612092188877,3317,2923,6.9247098004146,-3.12978313081054,362250,-0.0835352149486823,0.130349790344297,0.0417798209545239,0.447363470687456,-0.0918414269362344,-0.305259013230952,-0.0358411772207745,-0.033726478580931,0.18198367169866,0.403932150131681,0.248735722306392,0.0942457790060303,0.234027722070707,0.17027094452029,1.51444157401208,0.35108051722581,0.04037720175738,-2.4411301679681,-1.2444605048084,-1.13361537863366,8.12549350827308,2.21581370046282,-7.93791443437957,10.6,12.0954545454545,1.93472574573477,0.400991771284787,0.0788286685200035,1.72882299316441,2.96867811800419,36.2264150943396,-0.080547728881708,0.148148175244334,0.281888840641997,-0.0716075934644067,0.288184637488875,0.15082959118855,0.467290569939216,0.515465058866482,0.0767754356330919,0.389610882456459,0.351000711365046,0.287977160861086,0.287977160861086,0.268456537066886,0.196450658809244,0.218495042261857,0.175266734950785,0.0527883576226351,0.25870193167794,-395.13034923758
